///////////////////////////////////////////////////////////////
//
//Hartree method solving three-body nuclear wave function
//
///////////////////////////////////////////////////////////////

///////////////////////////////////////
//Variation
///////////////////////////////////////

Nc  q   lx  ly  L   sjk Sa  tjk
1   0   0   0   0   0   1/2   1
2   0   0   0   0   1   1/2   0
3   0   1   1   0   0   1/2   0
4   0   1   1   0   1   1/2   1
5   0   2   2   0   0   1/2   1
6   0   2   2   0   1   1/2   0
7   0   3   3   0   0   1/2   0
8   0   3   3   0   1   1/2   1
9   0   4   4   0   0   1/2   1
10   0   4   4   0   1   1/2   0
11   1   0   0   0   0   1/2   1
12   1   0   0   0   1   1/2   0
13   1   1   1   0   0   1/2   0
14   1   1   1   0   1   1/2   1
15   1   2   2   0   0   1/2   1
16   1   2   2   0   1   1/2   0
17   1   3   3   0   0   1/2   0
18   1   3   3   0   1   1/2   1
19   1   4   4   0   0   1/2   1
20   1   4   4   0   1   1/2   0
21   2   0   0   0   0   1/2   1
22   2   0   0   0   1   1/2   0
23   2   1   1   0   0   1/2   0
24   2   1   1   0   1   1/2   1
25   2   2   2   0   0   1/2   1
26   2   2   2   0   1   1/2   0
27   2   3   3   0   0   1/2   0
28   2   3   3   0   1   1/2   1
29   2   4   4   0   0   1/2   1
30   2   4   4   0   1   1/2   0
31   3   0   0   0   0   1/2   1
32   3   0   0   0   1   1/2   0
33   3   1   1   0   0   1/2   0
34   3   1   1   0   1   1/2   1
35   3   2   2   0   0   1/2   1
36   3   2   2   0   1   1/2   0
37   3   3   3   0   0   1/2   0
38   3   3   3   0   1   1/2   1
39   3   4   4   0   0   1/2   1
40   3   4   4   0   1   1/2   0
41   4   0   0   0   0   1/2   1
42   4   0   0   0   1   1/2   0
43   4   1   1   0   0   1/2   0
44   4   1   1   0   1   1/2   1
45   4   2   2   0   0   1/2   1
46   4   2   2   0   1   1/2   0
47   4   3   3   0   0   1/2   0
48   4   3   3   0   1   1/2   1
49   4   4   4   0   0   1/2   1
50   4   4   4   0   1   1/2   0
51   5   0   0   0   0   1/2   1
52   5   0   0   0   1   1/2   0
53   5   1   1   0   0   1/2   0
54   5   1   1   0   1   1/2   1
55   5   2   2   0   0   1/2   1
56   5   2   2   0   1   1/2   0
57   5   3   3   0   0   1/2   0
58   5   3   3   0   1   1/2   1
59   5   4   4   0   0   1/2   1
60   5   4   4   0   1   1/2   0
61   6   0   0   0   0   1/2   1
62   6   0   0   0   1   1/2   0
63   6   1   1   0   0   1/2   0
64   6   1   1   0   1   1/2   1
65   6   2   2   0   0   1/2   1
66   6   2   2   0   1   1/2   0
67   6   3   3   0   0   1/2   0
68   6   3   3   0   1   1/2   1
69   6   4   4   0   0   1/2   1
70   6   4   4   0   1   1/2   0
71   7   0   0   0   0   1/2   1
72   7   0   0   0   1   1/2   0
73   7   1   1   0   0   1/2   0
74   7   1   1   0   1   1/2   1
75   7   2   2   0   0   1/2   1
76   7   2   2   0   1   1/2   0
77   7   3   3   0   0   1/2   0
78   7   3   3   0   1   1/2   1
79   7   4   4   0   0   1/2   1
80   7   4   4   0   1   1/2   0
81   8   0   0   0   0   1/2   1
82   8   0   0   0   1   1/2   0
83   8   1   1   0   0   1/2   0
84   8   1   1   0   1   1/2   1
85   8   2   2   0   0   1/2   1
86   8   2   2   0   1   1/2   0
87   8   3   3   0   0   1/2   0
88   8   3   3   0   1   1/2   1
89   8   4   4   0   0   1/2   1
90   8   4   4   0   1   1/2   0
Hdim: 450
Variation parameter c=1100 MeV, base state energy: -6.54985 MeV
Variation parameter c=1200 MeV, base state energy: -6.65345 MeV
Variation parameter c=1300 MeV, base state energy: -6.82929 MeV
Variation parameter c=1400 MeV, base state energy: -7.01302 MeV
