Nc  q   lx  ly  L   sjk two_Sa  tjk
1   0   0   0   0   0   1   1
2   0   0   0   0   1   1   0
3   0   1   1   0   0   1   0
4   0   1   1   0   1   1   1
5   0   2   2   0   0   1   1
6   0   2   2   0   1   1   0
7   0   3   3   0   0   1   0
8   0   3   3   0   1   1   1
9   0   4   4   0   0   1   1
10   0   4   4   0   1   1   0
11   1   0   0   0   0   1   1
12   1   0   0   0   1   1   0
13   1   1   1   0   0   1   0
14   1   1   1   0   1   1   1
15   1   2   2   0   0   1   1
16   1   2   2   0   1   1   0
17   1   3   3   0   0   1   0
18   1   3   3   0   1   1   1
19   1   4   4   0   0   1   1
20   1   4   4   0   1   1   0
21   2   0   0   0   0   1   1
22   2   0   0   0   1   1   0
23   2   1   1   0   0   1   0
24   2   1   1   0   1   1   1
25   2   2   2   0   0   1   1
26   2   2   2   0   1   1   0
27   2   3   3   0   0   1   0
28   2   3   3   0   1   1   1
29   2   4   4   0   0   1   1
30   2   4   4   0   1   1   0
31   3   0   0   0   0   1   1
32   3   0   0   0   1   1   0
33   3   1   1   0   0   1   0
34   3   1   1   0   1   1   1
35   3   2   2   0   0   1   1
36   3   2   2   0   1   1   0
37   3   3   3   0   0   1   0
38   3   3   3   0   1   1   1
39   3   4   4   0   0   1   1
40   3   4   4   0   1   1   0
41   4   0   0   0   0   1   1
42   4   0   0   0   1   1   0
43   4   1   1   0   0   1   0
44   4   1   1   0   1   1   1
45   4   2   2   0   0   1   1
46   4   2   2   0   1   1   0
47   4   3   3   0   0   1   0
48   4   3   3   0   1   1   1
49   4   4   4   0   0   1   1
50   4   4   4   0   1   1   0
51   5   0   0   0   0   1   1
52   5   0   0   0   1   1   0
53   5   1   1   0   0   1   0
54   5   1   1   0   1   1   1
55   5   2   2   0   0   1   1
56   5   2   2   0   1   1   0
57   5   3   3   0   0   1   0
58   5   3   3   0   1   1   1
59   5   4   4   0   0   1   1
60   5   4   4   0   1   1   0
61   6   0   0   0   0   1   1
62   6   0   0   0   1   1   0
63   6   1   1   0   0   1   0
64   6   1   1   0   1   1   1
65   6   2   2   0   0   1   1
66   6   2   2   0   1   1   0
67   6   3   3   0   0   1   0
68   6   3   3   0   1   1   1
69   6   4   4   0   0   1   1
70   6   4   4   0   1   1   0
71   7   0   0   0   0   1   1
72   7   0   0   0   1   1   0
73   7   1   1   0   0   1   0
74   7   1   1   0   1   1   1
75   7   2   2   0   0   1   1
76   7   2   2   0   1   1   0
77   7   3   3   0   0   1   0
78   7   3   3   0   1   1   1
79   7   4   4   0   0   1   1
80   7   4   4   0   1   1   0
81   8   0   0   0   0   1   1
82   8   0   0   0   1   1   0
83   8   1   1   0   0   1   0
84   8   1   1   0   1   1   1
85   8   2   2   0   0   1   1
86   8   2   2   0   1   1   0
87   8   3   3   0   0   1   0
88   8   3   3   0   1   1   1
89   8   4   4   0   0   1   1
90   8   4   4   0   1   1   0
91   9   0   0   0   0   1   1
92   9   0   0   0   1   1   0
93   9   1   1   0   0   1   0
94   9   1   1   0   1   1   1
95   9   2   2   0   0   1   1
96   9   2   2   0   1   1   0
97   9   3   3   0   0   1   0
98   9   3   3   0   1   1   1
99   9   4   4   0   0   1   1
100   9   4   4   0   1   1   0
101   10   0   0   0   0   1   1
102   10   0   0   0   1   1   0
103   10   1   1   0   0   1   0
104   10   1   1   0   1   1   1
105   10   2   2   0   0   1   1
106   10   2   2   0   1   1   0
107   10   3   3   0   0   1   0
108   10   3   3   0   1   1   1
109   10   4   4   0   0   1   1
110   10   4   4   0   1   1   0
