Nc  q   lx  ly  L   sjk two_Sa  tjk
1   0   0   0   0   1   5   0
2   0   2   2   0   1   5   0
3   0   4   4   0   1   5   0
4   1   0   0   0   1   5   0
5   1   2   2   0   1   5   0
6   1   4   4   0   1   5   0
7   2   0   0   0   1   5   0
8   2   2   2   0   1   5   0
9   2   4   4   0   1   5   0
10   3   0   0   0   1   5   0
11   3   2   2   0   1   5   0
12   3   4   4   0   1   5   0
13   4   0   0   0   1   5   0
14   4   2   2   0   1   5   0
15   4   4   4   0   1   5   0
16   5   0   0   0   1   5   0
17   5   2   2   0   1   5   0
18   5   4   4   0   1   5   0
19   6   0   0   0   1   5   0
20   6   2   2   0   1   5   0
21   6   4   4   0   1   5   0
22   7   0   0   0   1   5   0
23   7   2   2   0   1   5   0
24   7   4   4   0   1   5   0
25   8   0   0   0   1   5   0
26   8   2   2   0   1   5   0
27   8   4   4   0   1   5   0
28   9   0   0   0   1   5   0
29   9   2   2   0   1   5   0
30   9   4   4   0   1   5   0
31   10   0   0   0   1   5   0
32   10   2   2   0   1   5   0
33   10   4   4   0   1   5   0
